group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
Feynman,0.9691439405940593,0.1350939692628231,101,101,0.9504950495049505,22.475247524752476,5.113743972275012,101,2020.5166336633663,28.222625298982877,101
Strogatz,,,0,0,,,,0,,,0
Black-box,0.6771617459016394,0.2533346270985732,117,122,0.13114754098360656,24.058823529411764,3.7512891176885295,119,2013.0093277310923,24.440224411734732,119
