algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,1027_ESL,ok,4,200,0.874707,0.495557,28,2005.31,,0.058749*(x1 - x3)**2/(sqrt(x2) - x3) + 0.058749*(x0*x1 + 15.483*x2)/(x2/x3 + 2.438/x2) + 0.68276
gomea,1028_SWD,ok,10,200,0.208539,0.611751,23,2025.55,,-0.836093*x2/(x3*x4*x6*x7*x8) - 0.836093*x2/(x3*x4*x6*x7**2) + 0.836093*log(x5*log(x2) + x9*log(x2)) + 3.286082
gomea,1029_LEV,ok,4,200,0.590177,0.605032,26,2025.54,,(-0.112089*x3*log(x0) + (x3*(x1 - x2) + 11.803)*(0.224178*x0 + 0.448356*x1 + 0.224178*x3 + 0.224178*log(x2) - 0.134212488))/(x3*(x1 - x2) + 11.803)
gomea,1030_ERA,ok,4,200,0.219226,1.642423,19,2016.65,,0.509008*sqrt(x0)*log(x1) + 0.509008*log(6.262 - x1) + 0.509008*log(x2 - 5.317) + 1.275817
gomea,1089_USCrime,ok,13,47,0.451017,25.936634,30,2017.73,,-1.718594*(x1/x9 + x12/x5)/(x3/x8 - sqrt(x4)) + 324.437676 - 1.718594*(x12*x3 + x9 - 4347.054)/(x0 + x10*x2 + x6)
gomea,1096_FacultySalaries,ok,4,50,0.81317,1.875758,28,2009.11,,1.707864588*x1**2/x2 - 0.00124940065383218*x3*(x2 + 395.818) - 8.252627 - 0.034396*(10.7562928753715 + I*pi)/(x1/x2 - x3/x1)
gomea,1191_BNG_pbc,ok,18,200,0.288282,869.488947,22,2009.83,,680.654242*x0 + 680.654242*x10 + 680.654242*sqrt(x17)*x5*x6 - 680.654242*x3 - 680.654242*sqrt(x0*x6 + log(x8)) - 224.57711734809
gomea,1193_BNG_lowbwt,ok,9,200,0.620003,501.862639,17,2007.72,,-273.970239*sqrt(x0*x1 - x4 + x6) + 273.970239*sqrt(-x0 + x3 + x4 - x7) + 3147.571242
gomea,1196_BNG_pharynx,ok,10,200,0.235528,270.317138,27,2009.75,,(926.712804*x1*x2*x9*log(x7) + 5.8e-5*x1*x9*(x0 + x2*x8 - x2) - 5.8e-5*x2*x3*x6*(x5 - x8 + 11.2786524017721)*log(x7))/(x1*x2*x9*log(x7))
gomea,1199_BNG_echoMonths,ok,9,200,0.496208,10.737936,25,2009.54,,(-2.148733*x4*x7 + 2.148733*x5**2 + x5*x7*(-2.148733*(x0 + x5)*(x0 + x8) + 2.148733*sqrt(x4 - x6) - 2.148733*log(x1 - 57.34) + 26.399961))/(x5*x7)
gomea,1201_BNG_breastTumor,ok,9,200,0.037349,11.451103,25,2003.47,,-4.0e-6*(x1/x6 + x3/x8 + x8/log(x4))*(x1 - x7 + log(x2) + log(x4) - 3.73394841748151 - I*pi) + 20.611472
gomea,1203_BNG_pwLinear,ok,10,200,0.262296,3.61157,30,2004.78,,0.680548*x0*x7 + 0.680548*x3*x5 + 1.195042288*x4 + 0.680548*x5 + 0.680548*x6 - 0.680548*(1.33341666406266*x0 - 0.682709332000083)*(x1 + 2*x2 + 2.767) - 1.703687
gomea,1027_ESL,ok,4,200,0.874707,0.495557,28,2007.53,,0.058749*(x1 - x3)**2/(sqrt(x2) - x3) + 0.058749*(x0*x1 + 15.483*x2)/(x2/x3 + 2.438/x2) + 0.68276
gomea,1028_SWD,ok,10,200,0.113236,0.647536,30,2096.06,,-0.172814*x1*x2/x7 + 0.172814*x1*x3/x7 + 0.172814*x2 - 0.172814*x3 + 0.172814*x4 + 0.172814*x5*x6 + 0.172814*x7/x9 + 0.172814*x8 + 0.345628*x9*log(x2) + 1.822636
gomea,1029_LEV,ok,4,200,0.548568,0.635004,18,2011.06,,0.641644*x1 + 0.641644*log(x0) + 0.320822*log(x2) - 0.641644*log(x1 - x3 + 3.29514794812008) + 0.585260108
gomea,1030_ERA,ok,4,200,0.249447,1.610323,21,2021.71,,0.290273989035573*sqrt(x3*(x1 - 4.398)) + 0.040404*(sqrt(x0) - 0.0744047619047619*x3)*(2*x1 + x2) + 1.310874
gomea,1089_USCrime,ok,13,47,0.848777,13.612652,28,2002.88,,1.563673*x10*x2/sqrt(x5) - 1.563673*x12*x3/(x0 + x6) - 1.563673*(x2 + x5 - x8)/(-x0 + x5 + x8 + x9) + 324.298797
gomea,1096_FacultySalaries,ok,4,50,0.877772,1.517189,28,2006.18,,-5.169612*(2*x2 + x3)/(350.934*x2 - 34197.324554) + 5.169612*(x3 + 37.22)/log(x1) - 52.253086 - 5.169612*(x2 - x3)/(x1 - x3)
gomea,1191_BNG_pbc,ok,18,200,0.004872,1028.133606,23,2011.93,,66.25002*(x0*x4 + x10 + sqrt(x17)*x5*x6 - x3)*log(x15*(-x13 + x14)/x8) - 408.215701
gomea,1193_BNG_lowbwt,ok,9,200,0.629798,495.352182,30,2006.77,,(1969.99721*x0*x3*x5*x7 + 0.000213*x0*x4*(-x4 + x7*x8 + x7) + 0.243636642*x2*x3*x4*x5*x7*(x0 + x3 + 4.44312173403369 + I*pi))/(x0*x3*x5*x7)
gomea,1196_BNG_pharynx,ok,10,200,0.267732,264.562187,29,2004.4,,8.4e-5*(x8 + x9)/log(x7) + 933.475858 - 8.4e-5*(x0 + x8)/(x0 - x2) - 8.4e-5*x3*x6*(x5 + x9 + 6.13447555338007)/(x1*x9)
gomea,1199_BNG_echoMonths,ok,9,200,0.487755,10.827648,24,2111.55,,-2.280471*sqrt(x4) + 2.280471*x5 - 2.280471*x7 - 2.280471*(x0 + x5)*(x0 + x8) - 2.280471*log(x1 - 57.334) + 2.280471*log(x6 - 15.166) + 32.06171
gomea,1201_BNG_breastTumor,ok,9,200,0.166344,10.656301,16,2006.64,,21.576607 + 3.35494*log(x3/log(x4) + x8/log(x4))/log(257.369 - 248.558*x2)
gomea,1203_BNG_pwLinear,ok,10,200,0.217922,3.718606,31,2004.5,,(-1.34445*x0 + 0.191638*(x2 + (x0 + 1.195)*(-x2 + x4 + x5 - 2.132) + 1.394)*(x0 + x1 + x8 - (x2 - 0.999)*(x3 - x7) + 4.86) - 1.60661775)/(x0 + 1.195)
gomea,1595_poker,ok,10,200,0.611349,0.885533,31,2002.81,,nan
gomea,192_vineyard,ok,2,52,0.53431,2.9423,28,2008.54,,(-732.354207*(x0 - 3.241)*(x1 + (x0 - x1)*(x1 - log(x0) + 2.971)) + 45.986991*(x0 - x1)*(x0 + (x0 - 3.241)*(-x0**2 + 30.072*x1) + 3.589))/((x0 - x1)*(x0 + (x0 - 3.241)*(-x0**2 + 30.072*x1) + 3.589))
gomea,197_cpu_act,ok,21,200,0.945306,4.796695,15,2002.67,,-0.571688*sqrt(x14*sqrt(x5)*x9) - 0.571688*sqrt(x16*x2/sqrt(x20)) + 96.378059
gomea,201_pol,ok,48,200,0.699298,21.141713,25,2010.76,,(-32.964394*x6*(x19 + x8)*(x4**2 + x5**2) - 1058589050.106753*sqrt(x4 - x7) + 1058589050.106753*sqrt(x6 - 218.237))/(x6*(x19 + x8)*(x4**2 + x5**2))
gomea,210_cloud,ok,5,108,0.915648,0.36003,30,2011.7,,(0.172036*x4*(x2 + x3)**2 + (x1 + x4*(x0 + x4))*(0.172036*x2 + 0.172036*x3 + 0.120253164*x4*log(x1) + 0.0363943304421409*x4 + 0.115814))/(x1 + x4*(x0 + x4))
gomea,215_2dplanes,ok,10,200,0.836858,1.320848,25,2022.6,,(1.327632*x0**2*x2 + x0*(x0 + 2.085)*(1.327632*x1 + 1.327632*x2 + 1.327632*x4 + 1.327632*x5 + 0.085738) + (x0 + 2.085)*(1.327632*x1 - 1.327632*x4 - 1.327632*x5 + 3.254026032))/(x0*(x0 + 2.085))
gomea,218_house_8L,ok,8,200,0.55033,32187.344894,28,2056.33,,(45267.002181*sqrt(x1)*x3*(x5*x6 - log(x4)) + 45267.002181*x2*(x3 - x4) - x3*(x3 - x4)*(45267.002181*x2**2*log(x7) + 45267.002181*x5*x7 + 2973.555332))/(x3*(x3 - x4))
gomea,225_puma8NH,ok,8,200,0.561678,3.769915,29,2009.85,,(-1.405782*x3 - 1.405782*x4 + (x0 - 5.002)*(-1.405782*sqrt(x2)*(x1 + x7) - 1.405782*(x1 + x2 - 1.36784502046102)*(x1*x2 + x1 - 2.502) + 8.010217))/(x0 - 5.002)
gomea,227_cpu_small,ok,12,200,0.956494,4.267491,19,2043.29,,-1.956206*x5 - 2.10536789860399e-6*x7 + 1.956206*sqrt(x10 + x11) - 1.956206*sqrt(x11 + 2*x2 + x3) + 94.24566
gomea,1027_ESL,ok,4,200,0.874707,0.495557,28,2010.46,,0.058749*(x1 - x3)**2/(sqrt(x2) - x3) + 0.058749*(x0*x1 + 15.483*x2)/(x2/x3 + 2.438/x2) + 0.68276
