algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,4544_GeographicalOriginalofMusic,ok,117,200,0.624104,0.512271,26,601.25,,0.239818*x100 + 0.239818*x102 + 0.239818*x21 + 0.239818*x41 - 0.239818*x42 + 0.239818*x70 - 0.239818*x72 - 0.239818*x86 + 0.239818*x98 + 0.239818*x99 + 0.239818*sqrt(x12 + x62) - 0.247768453999996
gomea,485_analcatdata_vehicle,ok,4,48,0.583105,201.620147,27,603.72,,(0.000405*x0**2*sqrt(x0 + x2) + 628.677664*x0*x1*(x0 - x1) + 5.1189193471716e-5*x1*x2*(x0 - x1)*(x2 + x3 - 2.35289790686763))/(x0*x1*(x0 - x1))
gomea,503_wind,ok,14,200,0.760753,2.242448,28,603.06,,(0.723763*x11*x13*x2*x3*(x13 - x2) + x2*x3*(x10 + x4)*(x13 - x2)*(0.723763*x12 + 0.723763*log(x5) + 0.063444) - 0.723763*(x10 + x4)*(x0 + x10*x11 + x13))/(x2*x3*(x10 + x4)*(x13 - x2))
gomea,505_tecator,ok,124,200,0.997403,0.54855,30,601.91,,(0.965889*x108*(x103 - x39)*(x111 - x2)*(x36 - x67) + x40*(x103 - x39)*(x36 - x67)*(-0.965889*x122 - 0.965889*x123 + 0.965889*x37 - 0.965889*x71 + 95.860571) - 0.965889*x40*(x103 - x39)*log(x38) + 0.965889*x40*(-x109 + x77)*(x36 - x67))/(x40*(x103 - x39)*(x36 - x67))
gomea,519_vinnie,error,,,,,,,TypeError: predict error: wrong data type,
gomea,522_pm10,ok,7,200,-0.295656,0.960081,18,602.3,,0.088232*(x0 + 0.0538039384482944*x5 - sqrt(x1*x3))*log(x0*x3 - sqrt(x1)) + 2.682672
gomea,523_analcatdata_neavote,ok,2,100,0.943243,0.844315,22,609.36,,(3.166605*x0 + 3.166605*sqrt(x1) - 3.166605*x1 + (12.865*x0 - sqrt(x1))*(3.166605*log(1 - 3.286*x1) - 8.059507))/(12.865*x0 - sqrt(x1))
gomea,527_analcatdata_election2000,ok,14,67,1.0,0.0,24,601.26,,-1.0*x0 - 1.0*x1 - 1.0*x2 - 1.0*x3 - 1.0*x4 - 1.0*x5 - 1.0*x6 - 1.0*x7 - 1.0*x8 + 1.0*x9 + zoo
gomea,529_pollen,ok,4,200,0.730216,1.775244,24,606.17,,-0.9292608*x0 + 0.213525*x1 - 0.0365312232677502*x2 - 0.42705*x3 + 0.213525*log(-x0/x1 + x1/x2) - 0.0027
gomea,537_houses,ok,8,200,0.780598,46708.184734,28,602.33,,(-51213.425363*x0*x5**2*(x0 - 1)*(x2 - x4)*log(x1) + 103224.375716*x3*(x3 + x4)*(x0*(x1 - x2) + x2))/(x3*(x3 + x4)*(x0*(x1 - x2) + x2))
