algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,1027_ESL,ok,4,200,0.731689,0.790629,22,2004.3,,(x0**2*(0.288767*(x1 + x2)*log(x3) + 0.288767*log(x1 - sqrt(x3) - 4.67) + 0.260723) - 0.288767*x1**2)/x0**2
gomea,1027_ESL,ok,4,200,0.731689,0.790629,22,2003.9,,(x0**2*(0.288767*(x1 + x2)*log(x3) + 0.288767*log(x1 - sqrt(x3) - 4.67) + 0.260723) - 0.288767*x1**2)/x0**2
gomea,1028_SWD,ok,10,200,0.234551,0.667234,29,2007.74,,(0.198634*x3*x5 + 0.198634*x4*x7 + x5*x7*(0.198634*x5*x7 + 0.198634*sqrt(x8) + 0.198634*(x0 - x3)*(x0 - x6) + 0.198634*(x6 + x9)*log(x2) + 1.632078))/(x5*x7)
gomea,1029_LEV,ok,4,200,0.554275,0.618288,28,2010.97,,0.054544*x0**2 + 0.442024576*x1 + 0.109088*x2 + 0.109088*x3 - 0.054544*(x1 - x2)**2*log(x3 - 3.375) + 0.185184
gomea,1030_ERA,ok,4,200,0.352167,1.560792,27,2003.84,,(-0.044941006*x3 + (x1 - 2.453)*(0.008999*sqrt(x0)*(x1 + x2)*(log(-x3) + 2.51745450785601) + 0.008999*x0*x1 + 0.008999*x1**2 + 2.041701))/(x1 - 2.453)
gomea,1089_USCrime,ok,13,47,0.656034,22.623642,30,2004.39,,-547.478228*(2*x12*x3/x7 - x7*log(x9)/x4)/(x2*x9 - 3079.463*x2/(x0 - x5) + x5 + x6) + 244.390745
gomea,1096_FacultySalaries,ok,4,50,-0.587557,7.757343,14,2009.79,,73.067709 - 91.794163*sqrt(20.2091068580479*I/sqrt(x3) - x2/x1 - 95.417/x1)
gomea,1191_BNG_pbc,ok,18,200,0.140091,976.835329,25,2030.01,,60.15413*(log(x15/x8) + log(-x13 + x14))*(x0 + x10 - x3 + x5*x6 + x5) - 242.321344
gomea,1193_BNG_lowbwt,ok,9,200,0.513477,634.497074,31,2001.12,,1771.85590400000
gomea,1196_BNG_pharynx,ok,10,200,-0.105408,316.886119,27,2004.06,,441.182659000000
gomea,1199_BNG_echoMonths,ok,9,200,0.535626,10.556953,20,2053.45,,-3.500702*(3.73683593753479 + I*pi)*(x0 + x8) + 3.500702*sqrt(x4 - x6) - 3.500702*log(-6.389*x2 + x4 - x5) + 27.909176
gomea,1201_BNG_breastTumor,ok,9,200,0.189123,10.385042,23,2009.46,,(21.948516*(x2 + x5)*log(x4) + 8.0e-6*(x3 + x8)*log(x0*x4 - 18.715*x2))/((x2 + x5)*log(x4))
gomea,1203_BNG_pwLinear,ok,10,200,0.269699,3.644858,28,2003.16,,0.706083*x3*x5 + 0.706083*x5 + 0.706083*x6 - 0.706083*(x0 + x6)*(x1 - x7) + 0.706083*(x2 + 1.6346253393362*I)*(-2*x0 + x4 + 1.408) - 2.056176
gomea,1595_poker,ok,10,200,-0.570306,1.679315,29,2003.53,,0.488921000000000
gomea,192_vineyard,ok,2,52,0.729583,2.38405,14,2021.0,,21.593807 - 1.014694*log((x0*x1 - 50.026)*(x0 + 2*x1 - 29.932)/x0)
gomea,197_cpu_act,ok,21,200,0.816363,9.266835,19,2004.71,,(-5.765005*x15*sqrt(x0*x2) + (32.820563 - 5.765005*log((x15 + x16)/x20))*(x15*(x13 + x19) + x19))/(x15*(x13 + x19) + x19)
gomea,201_pol,ok,48,200,0.653571,22.729125,25,2004.61,,(21.452784*x1 - 21.452784*x30 - 21.452784*x5 - 21.452784*x8 - 11.115031*(sqrt(x0 + x17) - sqrt(-x4 + x7))*(x4 + x5 + x6 - 316.28))/(-x1 + x30 + x5 + x8)
gomea,210_cloud,ok,5,108,0.894586,0.388211,23,2004.45,,(-0.209116*x3**2*log(log(x4)) + (x1 + x4)*(0.209116*(x2 + x3 + log(x1))*log(x2 + x3) + 0.443021))/(x1 + x4)
gomea,215_2dplanes,ok,10,200,0.694163,1.82492,25,2002.99,,(x0*(1.158419*x1 + 1.158419*x2 + 1.158419*x5 - 1.158419*(x0 - 1.238)*(x4 - 2.682) + 3.89668101) + 1.158419*x1 + 1.158419*x2 - 1.158419*x5 - 1.158419*x6)/x0
gomea,218_house_8L,ok,8,200,0.309213,38230.845093,29,2005.79,,813062.416629*sqrt(x1)*(-x2 + x2/x3 + x5)/(x3 + x7) - 813062.416629*(x2 - x5)*log(x7)/(x6/x2 + x4/x1) + 21766.319453
gomea,1027_ESL,ok,4,200,0.731689,0.790629,22,2002.87,,(x0**2*(0.288767*(x1 + x2)*log(x3) + 0.288767*log(x1 - sqrt(x3) - 4.67) + 0.260723) - 0.288767*x1**2)/x0**2
