algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
sbp,1027_ESL,ok,4,200,0.757669,0.685655,541,7716.22,,-781.462906+0.000000*((((322619919.269912+(((((((-89219145775591506276832124076032.000000*(x2*x2))+-121403875428942836662717737074688.000000)aq(-2791.366124+(1136.750666*x2)))*0.000000)+(((((0.000000*0.000000)+936474.408785)aq(-33675568762.913380+(11146743990.786825*x2)))*7715.081762)+18.863123))+(((-0.001294*((171755.057411+25.179000)aq(307.700548+(x2*-46.776886))))+175870.889958)+(3.822755*(((x0+0.000000)*(x0aqx1))+((33.507000+x1)-(x0+x0))))))*-1621.141420))*(((43.577502+(((x3aq24.262000)*(0.477546+(((x3-x0)-(x1+x2))*-0.043527)))*1.409357))*((((-553.610440+(-91.488964*((x2-x3)*(x2-x3))))*(((x2-x0)*(x3-x1))aq((x1*x2)-(x1+x1))))*-0.000020)+((((-0.228611+((x0aqx0)*0.204082))aq((x0aqx1)*(x0+x3)))*3.003759)+43.628694)))*((((6.048461+((((-3.683000-x0)aq(x3*x3))aq((13.924000*x3)-(x2aqx3)))*1173.979682))*(x1-x3))*0.111907)+13080.073363)))+(((((((-1549.890416*(359960.761461-(0.000000-x1)))+71.410597)aq(-2791.366124+((((x3-x2)*-814303738978.387817)+1660035940463.925049)*(0.000005+(0.000018*(x3-x2))))))*1235651005.554243)+((0.000000*((((0.000000*x2)*-390821078156324013833453568.000000)+(1298759784134336985706953283994981260322494917694421602734771268024551866368.000000+(x1*0.000000)))aq((-7479770502756690.000000*(x3-x2))+16543728771391348.000000)))+96150934215889.531250))+((((1.471653*((((x0aqx3)*104529.299722)+((-14102.754288*x0)+-25271.827227))*(((x0aq-0.785000)*(x1-x3))*((x1*x0)aq(x3*x3)))))+-1133109.765954)aq(-2791.366124+(((x0*99.668132)+-284.170450)*x2)))*(-57805819.713227+((((0.000000*((x0aq-0.785000)*(x1-x3)))+-0.000000)aq(-2791.366124+(((x1*x2)*377899841.739031)+-5587466564.323046)))*-1732156770863332121056525680640.000000))))+((((127631019957.569504+(-0.000000*((((0.000000*x2)*-390821078156324013833453568.000000)+(96357294063653810235916097357205183922176000.000000+(0.000000*0.000000)))aq(((-23599713073933540.000000*x3)+135070172180635200.000000)+(195497167112280.812500*x2)))))+(27103457063245051697667980971212800.000000*(((((13.924000*x3)-(0.000000aqx3))*0.000000)+-0.000000)aq((((x0aq-0.785000)*(x1-x3))*422331181000047.687500)+1862374891921375.750000))))+(((-2109.147980*(((-53157.004375+32995.269736)+((-2226823.760097*x3)+10124456.340185))*(((-47573.175094aqx1)*-0.005243)+-61.987375)))+96456803490032.187500)+((((((x3*18299809.584487)+-155391633.706862)aq((-7.892270*x3)+66.967679))*(22974007556.789890+((x1-x2)*8834200.853235)))+0.005641)*(((((x2-x0)*(x3-x1))*-0.000105)+0.000113)*(((-4228893839853.267578+8457787679794.224609)+(4229040770366.502441+(0.000000*-50563014.441043)))aq(5242756867439330.000000+(-4820856587960016.000000*(x2aqx3))))))))+(((-0.000247*((346116185084734848.000000+((x1aqx0)*(-502978545076645312.000000+(x1*21195141032593800.000000))))aq(-2791.366124+((-609.915566+(x3*180.832630))*x2))))+((((((3191935052985379376043687803309858423778475250588236980095499835960603404747379587789070137944063657402370011638855904044881365778216619704730843750324698280228583895152229928140800.000000*-0.000000)+-22065518240474473531544297342152684712444380836506856705026891840687931195436572702388309608084530891248346396032331108388997838143488.000000)+75109520749608504079718137792370603971634198692951456588677285438416460587945257674453031129621663459920671481536953367939135498197401600.000000)aq((-7479770502756690.000000*(x3-x2))+16543728771391348.000000))*-0.000000)+226413174928.217468))+(((((((x0+0.000000)*(x0aqx1))*0.000000)+-0.000000)aq((((x0aq-0.785000)*(x1-x3))*422331181000047.687500)+((-1789977801340419.000000*(x1-x3))+-287411472900217.187500)))*847918739078013694485128264342296836052929740800.000000)+((((0.012146+(-0.000568*(x0*x3)))aq(66744924573766836224.000000+(-29567837922636574720.000000*(x0-x1))))*-228375830239053010353871938125824.000000)+((((556336076880.820068+(-8838358463.020138*x2))+((x2aqx2)*818433248005.682007))+(-1402906200264.383545+((x0aqx1)*-41337132443.905426)))+((((x1*249604188163349980726530971894022144.000000)+-461394258387144129173964758630531072.000000)+((x1*-249604188163349980726530971894022144.000000)+461394258387143981600012168954118144.000000))*0.000000)))))))))
sbp,1028_SWD,ok,10,200,0.15934,0.631497,703,7522.18,,-0.933119+0.000000*(((((((-850748278.556448+(((-85260795388.093552+((x8+x6)*-1563053.304867))*(((x8*159.156819)+-585.814973)*(-0.002465+33917639383.021873)))*0.000000))+(((((3589.080962+-833056.647132)*(-0.002465+(x8*0.000948)))*2189917357.181482)+-5513034256.633638)+(((-63668854020.251244*((0.155925*x8)+7321668.257105))*-173.452749)+-80857124269381877760.000000)))+((-21732166879.654762*(x8*((x8*0.000112)+-159.156987)))+-8994091700304.343750))+(8875136.543651*((((-0.000000*((-1.176314+(x9*0.480160))*((-122294443775703120.000000*x7)+217978870416093824.000000)))+-0.015342)*(((((x9*-19359735889316.914062)+51201880429371.156250)*(-0.002465+(x8*0.000948)))*0.000000)+-1.316164))+(((((-0.106820+(0.000000*0.048145))*(-0.002465+(x8*0.000948)))*-0.442881)+-2.644498)+(((-12.793138+((-235.573151+x8)*-0.056028))*(2594.957675+(0.050668*(x8*0.000000))))+(3855.428542+(((x0*0.029881)+873443.041319)*(866633.895475+(0.000000*0.048145)))))))))*(((1.290718*((((((x0*x4)*-30091.040606)+123593.840861)aq(((x6-x9)aq(x2-x2))*((x0aqx4)+(1.795000+x2))))-(-95476691.839402+(((0.000000*x4)*-11764.641257)+(95563576.720231+(x8*-14849.455617)))))*0.000056))+73.051483)*(((((1.826723*(((0.000000aqx0)+(-13.787000aqx7))aq((x1*x3)+(x7-x4))))+((((x9+x4)+(x6+0.000000))*4.297504)+64.183587))+(((11.129975+(-0.722463*(x6*x4)))*((x9+x4)+((x4*0.000000)+-2.053217)))*0.484836))+((7.571924+(-5.799197*((x9aqx6)aq(x2*x2))))*(((((1.238867*x4)+-3.110578)-(x4+x8))-((x1*x5)+(x9+x3)))*((((x3-x1)*(x1-x0))*-0.047265)+-0.483893))))*((((-120104582496457.875000+(0.000000*(25209141868719545253888.000000aq(x7+x9))))aq(-41704109863275.851562+(((0.000000+x8)aq(x7+x9))*(225524859168600.125000+(-59003671075963.617188*x8)))))*0.001428)+((((24.419526+((x3+x1)*-4.982995))*(((x1aqx2)aqx5)*((x3-x7)*x3)))*-0.001727)+(0.561017+(-0.001629+(-0.000903*((x4aqx1)*-36.858291)))))))))+((-2022475256031919.750000*((((((((-0.118518*x7)+-402923.537006)+(x7aqx8))*32530.251442)+-12049425914.977295)+(((((0.000000*x8)+48.615107)*(-9.393454+(x1*4.083262)))*(((0.000000aqx3)+1140.184556)aq((184622.468312*x6)+-142563.918784)))*(-4289802.443036+((-23422.555322*(-269.262182+x8))*0.685333))))-(((-613.739065*((-6.808633-(17.542000aqx3))*((x7*x5)--1.802381)))+-49295.930465)+(((((x0*x4)*-1342737438.054588)+((2660706731.176524*x4)+-10400048.170268))aq((-1090.987297*(x8+x6))+6443.195341))*0.002365)))*((-0.000000*(((1263208795690485157379905083670528.000000+(x0*-855473927150117685976051709116416.000000))+(4722376748155057.000000*(0.000000*x4)))aq(-627.413100+((x1aqx2)*(1569.679372+-225.192255)))))+((0.196277*(((-1.176314+(x9*0.480160))*(-0.002465+(x8*0.000948)))*(((x6aqx3)+-0.949266)aq((x8aq0.744000)+(x7aqx8)))))+(19.383719+(((-1.176314+(x9*0.480160))*((131234193776.727081*x7)+-276412020642.230835))*-0.000000))))))+(((((((((x0*x4)*-1342737438.054588)+((2660706731.176524*x4)+-10400048.170268))aq((66327.273800*(x0*x4))+-165934.732025))*-11064586666406704.000000)+-986216311209605458024202240.000000)+(5778390889.015771*((((-597405.150926*x9)+893804.893750)*((-1.056756*x8)+2.799372))*((-106497.698084*(x3-x7))+-20052.338971))))+(((((((-540.827531aqx4)*7125122900195.452148)+1986039041992926.500000)+(1347672679.479205+(951764.639690*(-1417.871538+x4))))aq((-120.155981*(12.055763aq(x2-x0)))+1456.178463))*((-519652.506766+((-2717678.369824-(17.542000aqx3))*-0.191211))+(((x1+x4)*-0.827851)+4.229743)))*7957162.881762))+((10975186989569.886719*((((((x0*x4)*-30091.040606)+123593.840861)aq(((x6-x9)aq(x2-x2))*((x0aqx4)+(1.795000+x2))))-((-11767.690252*((x0*x4)-1637217387496.985840))+(-19266267091441844.000000+(-12210.542520+(x9*-5900.698770)))))*(-169426103.665516+(2845.657137*(((0.000000*0.004492)+59539.699841)+(-0.825552*(x1aqx5)))))))+((-365697392672885899264.000000+(1550771279.038082*(((-1.176314+(x9*0.480160))*((x0*-4427488974587.142578)+8742742219706.713867))*(((x6aqx3)+-0.949139)aq((x8aq0.744000)+(x7aqx8))))))+(-1311499727692385807084349587293028899020657917952.000000*(((((-540.827531aqx4)*7125122900195.452148)+1986039041992926.500000)+(((x4*-585407650713729.375000)+1084431723560027.000000)+(951764.639690*(-1417.871538+x4))))aq(((-540.827531aqx4)*-26003352207157445549525772250196863877120.000000)+-4535036269426826203781206331380449675313152.000000)))))))))
sbp,1029_LEV,ok,4,200,0.574977,0.618482,471,11269.27,,-8.931037+0.088360*(((-0.011224*((((x0+x1)+(x1+x3))*-286.693729)+((((((((0.000000-x2)*(x1*x1))*0.041769)+(20.563410+(0.287686*(x1*x2))))+(-0.561405*(((x0aqx1)*(x3*x2))*((x2*x3)-(x1-x3)))))*-14.498000)*-0.358679)+((((-0.049145*(((x1*0.000000)+-24.526439)*(233.106961+(x3*-12.464439))))+-20.802302)*(((x0aqx3)*(x3aqx0))-((x1aqx3)aq(x1-x2))))+(((((12.015000-x2)*(x1*x1))aq((-1.948000-x3)+(x2*x2)))*5.804854)+(1754.099853+(16.452646*((x0*x3)-(x2+x0)))))))))+((((1.084618+(4.123199*(((x0*x2)+(85.305026+(-98.642584*(x2aqx3))))aq((14.599000aqx3)-(x0+x0)))))*(-0.001715*((((((x2+x0)-(11.668000aqx3))-((x0-x2)*(x3+x1)))*(((x0*x3)+(x2+x1))aq((x1*x2)-(x3+x0))))-((((16.426000-8.329000)aq(x1-x2))+((x3+x3)*(x2+x2)))-(((x3aqx3)+(x0*x1))+((x2*-11.824000)aq(x2aq-10.104000)))))*(((((-13.674000*x2)*(x0aqx3))*((-13.770000-x1)aq(x3+x0)))aq(((0.690000aqx2)-(x2aqx3))-((x0*x1)-(x2-x2))))-((((x3*x3)*(x2*x0))-((x3aqx3)*(x0*x2)))*(((x1+-13.119000)aq(x0--8.981000))*((x2aqx3)*(x1-x3))))))))*0.002073)+((0.000725*(((0.009544*(((-160229.830967*(x0*x1))+350929.023219)aq((-1.948000-x3)+(x2*x2))))+668.399691)+(-143.127912*(((((x2+x0)-6.461977)-((x0-x2)*(x3+x1)))*(((x0*x3)+(0.000000+x1))aq((x1*x2)-(x3+x0))))-((((x0*x1)*2.338712)+-20.516901)-(((0.000000aqx3)+(x0*x1))+((x2*-8.503900)+-556.471489)))))))+((4.067769*(((((15622.564218+(-5266.100726*x0))aq((-1.948000-x3)+(x2*x2)))*-0.019454)+-3658.255420)*((((0.168953+(x0*-0.735341))*(x0aqx3))*0.000029)+-0.005027)))+((((((15622.564218+(-5266.100726*x0))aq((-1.948000-0.000000)+(x2*x2)))*(((x0*x1)*-0.001105)+0.001349))*(3.216840+(((-9196.991521aqx3)aq(x1-x2))*0.001188)))*0.068116)+((((142.801230+((x0aqx3)*-88.608160))*(((x3*-4.399892)+4.469989)*((x0*x3)*(x1-x3))))*-0.000093)+((0.000277*((-9196.991521aqx3)aq(x1-x2)))+((-0.205869*((x3aqx3)*(x0*x2)))+(((x3aqx0)*-0.598017)+((-0.322770*x1)+-14.767247)))))))))))
