algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,1027_ESL,ok,4,200,0.864588,0.512542,22,2009.64,,(1.959368*x2*x3 + 0.021024*(x2*(x1 + 14.663) - 33.748)*(x3*(x3 + 9.549) - 29.165)*(log(x0) - log(log(x0))))/(x2*x3)
gomea,1028_SWD,ok,10,200,0.145026,0.63685,30,2002.34,,(x0*x3*x5*x7**2*(0.174198*x4 + 0.174198*x5 + 0.174198*x6 + 0.174198*x8 + 0.174198*(x7 + x9)*log(x2) + 1.875128) + 0.174198*x1*(x3**2 - x5*x8))/(x0*x3*x5*x7**2)
gomea,1029_LEV,ok,4,200,0.65871,0.554221,23,2002.87,,0.0195303792917491*x0*x2**2*log(-x1 + x3) + 0.217295*x0 + 0.43459*x1 + 0.217295*x3 + 0.217295*log(x2) - 0.127324
gomea,1030_ERA,ok,4,200,0.399217,1.438514,28,2005.2,,(x1**2*(sqrt(x0*x3)*(0.016474*x1 - 0.008237*x3 + 0.077419563) + 0.008237*(x0 + x1)*(x1 + x2) + 1.607205) + 0.500060033*x3)/x1**2
gomea,1089_USCrime,ok,13,47,0.537956,23.65606,30,2005.86,,1.406426*(x0 - x8)/(x3 - x4) - 1.406426*(x12*x3 + 9014.002)/(x0 + x10*x2 + x6) + 343.148157 + 1.406426*(x11 - x4)/sqrt(x8)
gomea,1096_FacultySalaries,ok,4,50,0.919341,1.219157,31,2116.55,,(-0.011728*x1*x3*(x2 - x3) + (x1**2 - x2*x3)*(0.005864*(x1 + 36.201)*(x0 + 2*x1 - x2) + 17.746846))/(x1**2 - x2*x3)
gomea,1191_BNG_pbc,ok,18,200,0.084179,985.278643,23,2001.43,,72.944963*(-2*x3 + log(x15) + log(-x13 + x14))*(x0 + x10 + x5*x6 - x8**(1/4)) - 35.902442
gomea,1193_BNG_lowbwt,ok,9,200,0.660255,470.7453,29,2003.22,,-3.0e-6*x2*x4/(x0 + x3) + 3.0e-6*(x8/x5 + 70.472/x0)*(x3 + x7 + 4.22884631722606) + 2070.435196 + 0.000689388*log(x8)/x3
gomea,1196_BNG_pharynx,ok,10,200,0.235808,271.385319,23,2003.32,,-26.160384*(x2*x8 + x5 + x7)*(x5 + x7 - x8 - x9) + 26.160384*log(x9/(x2*log(x7))) + 463.774708
gomea,1199_BNG_echoMonths,ok,9,200,0.564082,9.973712,24,2002.9,,(x4*(-3.003364*sqrt(x1) - 3.003364*sqrt(x4) - 3.003364*x5*(x0 + x8) + 3.003364*x5 + 3.003364*x8 + 3.003364*sqrt(-x4 + x6) + 43.257526) - 3.003364*x7)/x4
gomea,1201_BNG_breastTumor,ok,9,200,0.140353,10.859507,28,2004.37,,(1.5e-5*sqrt(x2)*(x3 + x8)*(log(x2) + log(x4)) + 22.209399*(x2 + x5)*(-x2*x7 + x2 + x7)*log(x2)*log(x4))/((x2 + x5)*(-x2*x7 + x2 + x7)*log(x2)*log(x4))
gomea,1203_BNG_pwLinear,ok,10,200,0.02152,4.154498,29,2009.77,,-0.843932*x0*(x2 + 3.084) + 0.843932*x4 + 0.843932*x5 + 0.843932*x6*x7 - 0.843932*(x0 - 1.158)*(x1 + x2) + 0.843932*(x2 + x4)*(x8 + x9) - 0.382584
gomea,1595_poker,ok,10,200,0.653867,0.841205,31,2004.48,,0.342604000000000
gomea,192_vineyard,ok,2,52,0.581363,2.795969,26,2003.52,,481.419014*(log(x0) - 1.54222916274065)/((x0**2 - 1.187*x0/(x0 - 2.926) + 8.973*x1)*log(x0 - 6.38)) + 21.302964
gomea,197_cpu_act,ok,21,200,0.921622,5.748664,25,2010.36,,((103.313851 - 2.288636*log(x15 + x16))*(x15 - x3)*sqrt(x2 + x20) + 2.288636*(x10 + x11)*sqrt(x2 + x20) - 2.288636*(x15 - x3)*(x16*x5 + x16 + x2))/((x15 - x3)*sqrt(x2 + x20))
gomea,201_pol,ok,48,200,0.653916,22.691097,25,2036.57,,(120152.62231*sqrt(2)*sqrt(x5) - 120152.62231*sqrt(x4 - x7) - 54.457886*(-x1 + x30 + x5 + x6)*(x19 + x24 + x4 + x5))/((-x1 + x30 + x5 + x6)*(x19 + x24 + x4 + x5))
